rank,front,en,fr,ur,definition_en,example_ar,example_en,front_in_example,english_gloss_example_support,flags,status
568,عَلَى وَشْكِ التَّلاشِي النِّهَائِيِّ المَحْضِ,on the verge of pure final disappearance / non-existence,sur le point de la disparition finale pure / néant total,خالص حتمی طور پر مٹ جانے (بالکل ختم ہونے) کے دہانے پر,"Phrase describing an object or a person that is losing its last atom of existence, about to become nothing forever, even in the memory of God.",الخَطِيئَةُ عَلَى وَشْكِ التَّلاشِي النِّهَائِيِّ المَحْضِ.,Sin is on the verge of pure final disappearance.,True,True,,verified
569,فِي حَالِ طَلَبِ التَّوْضِيحِ المَلَكُوتِيِّ العَمِيقِ,in case deep celestial (angelic) clarification is requested,en cas de demande de clarification célestielle (angélique) profonde,گہری ملکوتی وضاحت طلب ہونے کی صورت میں,(Extreme pedagogical depth). Conditional phrase for when a soul or an angel needs the reasons for a heavenly law explained further in the deepest light.,اِقْرَأِ الكِتَابَ فِي حَالِ طَلَبِ التَّوْضِيحِ المَلَكُوتِيِّ العَمِيقِ.,Read the book in case deep celestial clarification is requested.,True,True,,verified
570,فِي المَقَامِ الرَّابِعِ وَالخَمْسِينَ,in the fifty-fourth place / fifty-fourthly,en cinquante-quatrième lieu,چون ویں نمبر پر,Phrase used to introduce the fifty-fourth item in an ordered list of points or reasons.,وَفِي المَقَامِ الرَّابِعِ وَالخَمْسِينَ، العِلْمُ.,"And fifty-fourthly, Science.",True,True,,verified
571,مِنَ الصَّعْبِ تَفَادِي الوُقُوعِ فِي هَذَا الحُطَامِ,hard to avoid falling into this wreckage / debris / ruin (physical or social),difficile d'éviter de tomber dans ces décombres / ce naufrage,اس ملبے (تباہی کے ڈھیر) میں گرنے سے بچنا مشکل ہو,Phrase used when a system or a building has collapsed so totally that anyone near it is pulled into the pieces and ruins of the disaster.,اِنْهَارَ الاِقْتِصَادُ وَمِنَ الصَّعْبِ تَفَادِي الوُقُوعِ فِي هَذَا الحُطَامِ.,The economy collapsed and it was hard to avoid falling into this wreckage.,True,True,,verified
572,بِدُونِ سَابِقِ تَعَهُّدٍ سِيَاسِيٍّ بِيُولُوجِيٍّ,without any prior biological political commitment,sans aucun engagement politique biologique préalable,کسی بھی پیشگی بائیولوجیکل سیاسی عہد کے بغیر,"(Double emphatic). Stresses that no promises were made regarding health, vaccines, or the management of life itself from the government before a sudden change.",عُزِلَتِ المَدِينَةُ بِدُونِ سَابِقِ تَعَهُّدٍ سِيَاسِيٍّ بِيُولُوجِيٍّ.,The city was isolated without any prior biological political commitment.,True,True,,verified
573,فِي حَالِ طَلَبِ التَّوْضِيحِ الجِيُولوجِيِّ العَمِيقِ,in case deep geological clarification is requested,en cas de demande de clarification géologique profonde,گہری جیولوجیکل (ماحولیاتی) وضاحت طلب ہونے کی صورت میں,(Extreme pedagogical depth). Conditional phrase for when a scientist needs to know the most hidden reasons for how the Earth's layers and rocks were formed.,اِشْرَحِ الجَبَلَ فِي حَالِ طَلَبِ التَّوْضِيحِ الجِيُولوجِيِّ العَمِيقِ.,Explain the mountain in case deep geological clarification is requested.,True,True,,verified
574,فِي المَقَامِ الخَامِسِ وَالخَمْسِينَ,in the fifty-fifth place / fifty-fifthly,en cinquante-cinquième lieu,پچپن ویں نمبر پر,Phrase used to introduce the fifty-fifth item in an ordered list of points or reasons.,وَفِي المَقَامِ الخَامِسِ وَالخَمْسِينَ، الحِكْمَةُ.,"And fifty-fifthly, Wisdom.",True,True,,verified
575,مِنْ قُبَيْلِ المَصْلَحَةِ الاِسْتِرَاتِيجِيَّةِ الفَلْسَفِيَّةِ,for the sake of philosophical strategic interest,par intérêt stratégique philosophique,فلسفیانہ تزویراتی (سٹراٹیجک) مفاد کی خاطر,Phrase used to justify actions (like writing a new constitution or changing the national ideology) as being vital for the nation's power through thought.,غَيَّرْنَا المَنْهَجَ مِنْ قُبَيْلِ المَصْلَحَةِ الاِسْتِرَاتِيجِيَّةِ الفَلْسَفِيَّةِ.,We changed the curriculum for the sake of philosophical strategic interest.,True,True,,verified
576,مِنَ الصَّعْبِ تَفَادِي الوُقُوعِ فِي هَذَا الشَّتَاتِ,hard to avoid falling into this diaspora / fragmentation / dispersion,difficile d'éviter de tomber dans cette diaspora / cet éparpillement,اس انتشار (بکھراؤ) میں گرنے سے بچنا مشکل ہو,Phrase used when a nation or a family is broken into so many pieces that anyone involved is inevitably scattered and lost in the world.,هُجِّرَ الشَّعْبُ وَمِنَ الصَّعْبِ تَفَادِي الوُقُوعِ فِي هَذَا الشَّتَاتِ.,The people were displaced and it was hard to avoid falling into this diaspora.,True,True,,verified
577,بِدُونِ سَابِقِ تَعَهُّدٍ سِيَاسِيٍّ إِيكُولُوجِيٍّ,without any prior ecological political commitment,sans aucun engagement politique écologique préalable,کسی بھی پیشگی ایکولوجیکل (ماحولیاتی) سیاسی عہد کے بغیر,"(Double emphatic). Stresses that no promises were made regarding nature, the environment, or the balance of life from the government before a sudden change.",قُطِعَتِ الأَشْجَارُ بِدُونِ سَابِقِ تَعَهُّدٍ سِيَاسِيٍّ إِيكُولُوجِيٍّ.,The trees were cut without any prior ecological political commitment.,True,True,,verified
578,فِي حَالِ طَلَبِ التَّوْضِيحِ الجِيُوبُولِيتِيكِيِّ العَمِيقِ,in case deep geo-political clarification is requested,en cas de demande de clarification géopolitique profonde,گہری جیو پولیٹیکل وضاحت طلب ہونے کی صورت میں,(Extreme pedagogical depth). Conditional phrase for when a world leader or a general needs to know the deepest reasons for how geography determines the power of nations.,نَاقِشِ الحُدُودَ فِي حَالِ طَلَبِ التَّوْضِيحِ الجِيُوبُولِيتِيكِيِّ العَمِيقِ.,Discuss the borders in case deep geo-political clarification is requested.,True,True,,verified
579,فِي المَقَامِ السَّادِسِ وَالخَمْسِينَ,in the fifty-sixth place / fifty-sixthly,en cinquante-sixième lieu,چھپن ویں نمبر پر,Phrase used to introduce the fifty-sixth item in an ordered list of points or reasons.,وَفِي المَقَامِ السَّادِسِ وَالخَمْسِينَ، الصِّدْقُ.,"And fifty-sixthly, Truthfulness.",True,True,,verified
580,مِنْ قُبَيْلِ المَصْلَحَةِ الاِسْتِرَاتِيجِيَّةِ الأَخْلَاقِيَّةِ,for the sake of ethical strategic interest,par intérêt stratégique éthique,اخلاقی تزویراتی (سٹراٹیجک) مفاد کی خاطر,Phrase used to justify actions (like starting a charity or helping a poor nation) as being vital for the nation's power through moral goodness.,سَاعَدْنَا المَنْكُوبِينَ مِنْ قُبَيْلِ المَصْلَحَةِ الاِسْتِرَاتِيجِيَّةِ الأَخْلَاقِيَّةِ.,We helped the victims for the sake of ethical strategic interest.,True,True,,verified
581,مِنَ الصَّعْبِ تَفَادِي الوُقُوعِ فِي هَذَا الاِنْهِيَارِ,hard to avoid falling into this collapse / breakdown / landslide,difficile d'éviter de tomber dans cet effondrement / cette débâcle,اس گراوٹ (ٹوٹ پھوٹ) میں گرنے سے بچنا مشکل ہو,"Phrase used when a mountain, a building, or a whole civilization starts to fall down so fast that anyone near it is pulled into the crash.",حَدَثَ الزِّلْزَالُ وَمِنَ الصَّعْبِ تَفَادِي الوُقُوعِ فِي هَذَا الاِنْهِيَارِ.,The earthquake happened and it was hard to avoid falling into this collapse.,True,True,,verified
582,عَلَى وَشْكِ التَّلاشِي الطِّبِّيِّ الشَّامِلِ,on the verge of total medical disappearance / biological death,sur le point de la disparition médicale totale / mort biologique,مکمل طبی طور پر مٹ جانے (زندگی ختم ہونے) کے دہانے پر,"Phrase describing a patient or a whole population whose bodies are about to fail completely, leaving no chance for medicine or doctors to help.",الخَلايا عَلَى وَشْكِ التَّلاشِي الطِّبِّيِّ الشَّامِلِ.,Cells are on the verge of total medical disappearance.,True,True,,verified
583,فِي حَالِ طَلَبِ التَّوْضِيحِ السُّوسِيُولُوجِيِّ العَمِيقِ,in case deep sociological clarification is requested,en cas de demande de clarification sociologique profonde,گہری عمرانیاتی (سوشل بیالوجیکل) وضاحت طلب ہونے کی صورت میں,(Extreme pedagogical depth). Conditional phrase for when a leader or a scientist needs to know the deepest reasons for how groups of people behave and how their habits were formed.,حَلِّلِ الجَمَاعَةَ فِي حَالِ طَلَبِ التَّوْضِيحِ السُّوسِيُولُوجِيِّ العَمِيقِ.,Analyze the group in case deep sociological clarification is requested.,True,True,,verified
584,فِي المَقَامِ السَّابِعِ وَالخَمْسِينَ,in the fifty-seventh place / fifty-seventhly,en cinquante-septième lieu,ستون ویں نمبر پر,Phrase used to introduce the fifty-seventh item in an ordered list of points or reasons.,وَفِي المَقَامِ السَّابِعِ وَالخَمْسِينَ، الشَّجَاعَةُ.,"And fifty-seventhly, Courage.",True,True,,verified
585,مِنْ قُبَيْلِ المَصْلَحَةِ الاِسْتِرَاتِيجِيَّةِ الجِيُوفِيزْيَائِيَّةِ,for the sake of geo-physical strategic interest,par intérêt stratégique géophysique,جیو فزیکل تزویراتی (سٹراٹیجک) مفاد کی خاطر,Phrase used to justify actions (like building a deep-earth sensor or controlling a volcano) as being vital for the nation's power through earth-science.,حَفَرْنَا البِئْرَ مِنْ قُبَيْلِ المَصْلَحَةِ الاِسْتِرَاتِيجِيَّةِ الجِيُوفِيزْيَائِيَّةِ.,We dug the well for the sake of geo-physical strategic interest.,True,True,,verified
586,بِدُونِ سَابِقِ تَعَهُّدٍ سِيَاسِيٍّ سُوسِيُولُوجِيٍّ,without any prior sociological political commitment,sans aucun engagement politique sociologique préalable,کسی بھی پیشگی عمرانیاتی (سوشل بیالوجیکل) سیاسی عہد کے بغیر,"(Double emphatic). Stresses that no promises were made regarding social groups, habits, or the structure of society from the government before a sudden change.",هُدِمَتِ المَبَانِي بِدُونِ سَابِقِ تَعَهُّدٍ سِيَاسِيٍّ سُوسِيُولُوجِيٍّ.,Buildings were demolished without any prior sociological political commitment.,True,True,,verified
587,عَلَى وَشْكِ التَّلاشِي الجِيُوبُولِيتِيكِيِّ الشَّامِلِ,on the verge of total geo-political disappearance / loss of sovereignty,sur le point de la disparition géopolitique totale / perte de souveraineté,مکمل جیو پولیٹیکل طور پر مٹ جانے (خود مختاری ختم ہونے) کے دہانے پر,"Phrase describing a country or a region that is about to lose its borders, its government, and its place on the world map forever.",الحُدُودُ عَلَى وَشْكِ التَّلاشِي الجِيُوبُولِيتِيكِيِّ الشَّامِلِ.,Borders are on the verge of total geo-political disappearance.,True,True,,verified
588,فِي حَالِ طَلَبِ التَّوْضِيحِ البِيُوكِيمْيَائِيِّ العَمِيقِ,in case deep bio-chemical clarification is requested,en cas de demande de clarification biochimique profonde,گہری بائیو کیمیکل وضاحت طلب ہونے کی صورت میں,(Extreme pedagogical depth). Conditional phrase for when a scientist or a doctor needs to know the most hidden reasons for how molecules and life-chemicals react together.,اِشْرَحِ الخَلِيَّةَ فِي حَالِ طَلَبِ التَّوْضِيحِ البِيُوكِيمْيَائِيِّ العَمِيقِ.,Explain the cell in case deep bio-chemical clarification is requested.,True,True,,verified
589,فِي المَقَامِ الثَّامِنِ وَالخَمْسِينَ,in the fifty-eighth place / fifty-eighthly,en cinquante-huitième lieu,اٹھاون ویں نمبر پر,Phrase used to introduce the fifty-eighth item in an ordered list of points or reasons.,وَفِي المَقَامِ الثَّامِنِ وَالخَمْسِينَ، العَزِيمَةُ.,"And fifty-eighthly, Determination.",True,True,,verified
590,مِنْ قُبَيْلِ المَصْلَحَةِ الاِسْتِرَاتِيجِيَّةِ البِيُوكِيمْيَائِيَّةِ,for the sake of bio-chemical strategic interest,par intérêt stratégique biochimique,بائیو کیمیکل تزویراتی (سٹراٹیجک) مفاد کی خاطر,Phrase used to justify actions (like building a molecule lab or making a biological shield) as being vital for the nation's power through microscopic science.,دَرَسْنَا الخَلِيَّةَ مِنْ قُبَيْلِ المَصْلَحَةِ الاِسْتِرَاتِيجِيَّةِ البِيُوكِيمْيَائِيَّةِ.,We studied the cell for the sake of bio-chemical strategic interest.,True,True,,verified
591,بِدُونِ سَابِقِ تَعَهُّدٍ سِيَاسِيٍّ جِيُوفِيزْيَائِيٍّ,without any prior geo-physical political commitment,sans aucun engagement politique géophysique préalable,کسی بھی پیشگی جیو فزیکل سیاسی عہد کے بغیر,"(Double emphatic). Stresses that no promises were made regarding earth-science, energy, or the deep layers of the ground from the government before a sudden change.",حُفِرَتِ الآبارُ بِدُونِ سَابِقِ تَعَهُّدٍ سِيَاسِيٍّ جِيُوفِيزْيَائِيٍّ.,Wells were dug without any prior geo-physical political commitment.,True,True,,verified
592,عَلَى وَشْكِ التَّلاشِي البِيُولُوجِيِّ الشَّامِلِ,on the verge of total biological disappearance / molecular death,sur le point de la disparition biologique totale / mort moléculaire,مکمل بائیولوجیکل طور پر مٹ جانے (سالماتی موت) کے دہانے پر,"Phrase describing a cell, a virus, or a body that is about to lose its last biological signal, becoming inanimate matter forever.",النُّوَاةُ عَلَى وَشْكِ التَّلاشِي البِيُولُوجِيِّ الشَّامِلِ.,The nucleus is on the verge of total biological disappearance.,True,True,,verified
593,فِي المَقَامِ التَّاسِعِ وَالخَمْسِينَ,in the fifty-ninth place / fifty-ninthly,en cinquante-neuvième lieu,انسٹھ ویں نمبر پر,Phrase used to introduce the fifty-ninth item in an ordered list of points or reasons.,وَفِي المَقَامِ التَّاسِعِ وَالخَمْسِينَ، التَّوْفِيقُ.,"And fifty-ninthly, Divine Success.",True,True,,verified
594,بِدُونِ سَابِقِ تَعَهُّدٍ سِيَاسِيٍّ بِيُوكِيمْيَائِيٍّ,without any prior bio-chemical political commitment,sans aucun engagement politique biochimique préalable,کسی بھی پیشگی بائیو کیمیکل سیاسی عہد کے بغیر,"(Double emphatic). Stresses that no promises were made regarding molecules, lab-science, or the chemistry of life from the government before a sudden change.",أُنْتِجَ المَصْلُ بِدُونِ سَابِقِ تَعَهُّدٍ سِيَاسِيٍّ بِيُوكِيمْيَائِيٍّ.,The vaccine was produced without any prior bio-chemical political commitment.,True,True,,verified
595,عَلَى وَشْكِ التَّلاشِي الفَلْسَفِيِّ الشَّامِلِ,on the verge of total philosophical disappearance / loss of meaning,sur le point de la disparition philosophique totale / perte de sens,مکمل فلسفیانہ طور پر مٹ جانے (معانی ختم ہونے) کے دہانے پر,"Phrase describing a civilization or a book where all wisdom, ideas, and the logic of existence are about to vanish, leaving only empty words.",المَعْنَى عَلَى وَشْكِ التَّلاشِي الفَلْسَفِيِّ الشَّامِلِ.,Meaning is on the verge of total philosophical disappearance.,True,True,,verified
596,فِي حَالِ طَلَبِ التَّوْضِيحِ الجِيُوفِيزْيَائِيِّ العَمِيقِ,in case deep geo-physical clarification is requested,en cas de demande de clarification géophysique profonde,گہری جیو فزیکل وضاحت طلب ہونے کی صورت میں,(Extreme pedagogical depth). Conditional phrase for when a scientist needs to know the most hidden reasons for how the Earth's forces and energy layers work together.,اِشْرَحِ الزِّلْزَالَ فِي حَالِ طَلَبِ التَّوْضِيحِ الجِيُوفِيزْيَائِيِّ العَمِيقِ.,Explain the earthquake in case deep geo-physical clarification is requested.,True,True,,verified
597,فِي المَقَامِ السِّتِّينَ,in the sixtieth place / sixtiethly,en soixantième lieu,ساٹھویں نمبر پر,Phrase used to introduce the sixtieth item in an ordered list of points or reasons.,وَفِي المَقَامِ السِّتِّينَ، المَحَبَّةُ.,"And sixtiethly, Love.",True,True,,verified
598,عَلَى وَشْكِ التَّلاشِي المَادِّيِّ الشَّامِلِ,on the verge of total physical disappearance / destruction of matter,sur le point de la disparition physique totale / destruction de la matière,مکمل مادی (فزیکل) طور پر مٹ جانے (مادہ ختم ہونے) کے دہانے پر,"Phrase describing an object, a building, or a whole planet that is about to turn into pure energy or dust, leaving no physical trace behind.",الجَبَلُ عَلَى وَشْكِ التَّلاشِي المَادِّيِّ الشَّامِلِ.,The mountain is on the verge of total physical disappearance.,True,True,,verified
599,فِي حَالِ طَلَبِ التَّوْضِيحِ الفِيزْيَائِيِّ العَمِيقِ,in case deep physical clarification is requested,en cas de demande de clarification physique profonde,گہری مادی (فزیکل) وضاحت طلب ہونے کی صورت میں,"(Extreme pedagogical depth). Conditional phrase for when a scientist needs to know the most hidden reasons for how matter, forces, and motion work together.",اِشْرَحِ القُوَّةَ فِي حَالِ طَلَبِ التَّوْضِيحِ الفِيزْيَائِيِّ العَمِيقِ.,Explain the force in case deep physical clarification is requested.,True,True,,verified
600,فِي المَقَامِ الحَادِي وَالسِّتِّينَ,in the sixty-first place / sixty-firstly,en soixante et onzième lieu,اکسٹھ ویں نمبر پر,Phrase used to introduce the sixty-first item in an ordered list of points or reasons.,وَفِي المَقَامِ الحَادِي وَالسِّتِّينَ، الإِخْلَاصُ.,"And sixty-firstly, Sincerity.",True,True,,verified
601,بِدُونِ سَابِقِ تَعَهُّدٍ سِيَاسِيٍّ فَلَسَفِيٍّ,without any prior philosophical political commitment,sans aucun engagement politique philosophique préalable,کسی بھی پیشگی فلسفیانہ سیاسی عہد کے بغیر,"(Double emphatic). Stresses that no promises were made regarding wisdom, logic, or the ideology of the state from the government before a sudden change.",غُيِّرَتِ المَبَادِئُ بِدُونِ سَابِقِ تَعَهُّدٍ سِيَاسِيٍّ فَلَسَفِيٍّ.,Principles were changed without any prior philosophical political commitment.,True,True,,verified
602,عَلَى وَشْكِ التَّلاشِي الفِيزْيَائِيِّ الشَّامِلِ,on the verge of total physical disappearance / material destruction,sur le point de la disparition physique totale / destruction matérielle,مکمل مادی (فزیکل) طور پر مٹ جانے (مادہ ختم ہونے) کے دہانے پر,"Phrase describing an object or a person whose physical matter is about to be completely destroyed or turned into energy, leaving nothing for the eyes to see.",القَصْرُ عَلَى وَشْكِ التَّلاشِي الفِيزْيَائِيِّ الشَّامِلِ.,The palace is on the verge of total physical disappearance.,True,True,,verified
603,فِي حَالِ طَلَبِ التَّوْضِيحِ البِيُولُوجِيِّ العَمِيقِ,in case deep biological clarification is requested,en cas de demande de clarification biologique profonde,گہری بائیولوجیکل وضاحت طلب ہونے کی صورت میں,"(Extreme pedagogical depth). Conditional phrase for when a scientist or a leader needs to know the most hidden reasons for how DNA, cells, and life-signals work together.",اِشْرَحِ الجِين فِِي حَالِ طَلَبِ التَّوْضِيحِ البِيُولُوجِيِّ العَمِيقِ.,Explain the gene in case deep biological clarification is requested.,True,True,,verified
604,فِي المَقَامِ الثَّانِي وَالسِّتِّينَ,in the sixty-second place / sixty-secondly,en soixante-deuxième lieu,باسٹھ ویں نمبر پر,Phrase used to introduce the sixty-second item in an ordered list of points or reasons.,وَفِي المَقَامِ الثَّانِي وَالسِّتِّينَ، الصِّحَّةُ.,"And sixty-secondly, Health.",True,True,,verified
605,بِدُونِ سَابِقِ تَعَهُّدٍ سِيَاسِيٍّ فِيزْيَائِيٍّ,without any prior physical political commitment,sans aucun engagement politique physique préalable,کسی بھی پیشگی مادی (فزیکل) سیاسی عہد کے بغیر,"(Double emphatic). Stresses that no promises were made regarding matter, construction, or the physical structure of the city from the government before a sudden change.",هُدِمَ المَصْنَعُ بِدُونِ سَابِقِ تَعَهُّدٍ سِيَاسِيٍّ فِيزْيَائِيٍّ.,The factory was demolished without any prior physical political commitment.,True,True,,verified
606,عَلَى وَشْكِ التَّلاشِي السُّوسِيُولُوجِيِّ الشَّامِلِ,on the verge of total sociological disappearance / collapse of community,sur le point de la disparition sociologique totale / effondrement de la communauté,مکمل عمرانیاتی (سوشل بیالوجیکل) طور پر مٹ جانے (سماج ختم ہونے) کے دہانے پر,"Phrase describing a town or a whole tribe that is about to lose its habits, its language, and its identity, leaving no trace of their social structure behind.",الثَّقَافَةُ عَلَى وَشْكِ التَّلاشِي السُّوسِيُولُوجِيِّ الشَّامِلِ.,Culture is on the verge of total sociological disappearance.,True,True,,verified
607,فِي حَالِ طَلَبِ التَّوْضِيحِ التِّكْنُولُوجِيِّ العَمِيقِ,in case deep technological clarification is requested,en cas de demande de clarification technologique profonde,گہری ٹیکنالوجیکل وضاحت طلب ہونے کی صورت میں,"(Extreme pedagogical depth). Conditional phrase for when a scientist or a leader needs to know the most hidden reasons for how code, machines, and automation work together.",اِشْرَحِ الخُوَارِزْمِيَّةَ فِي حَالِ طَلَبِ التَّوْضِيحِ التِّكْنُولُوجِيِّ العَمِيقِ.,Explain the algorithm in case deep technological clarification is requested.,True,True,,verified
608,فِي المَقَامِ الثَّالِثِ وَالسِّتِّينَ,in the sixty-third place / sixty-thirdly,en soixante-troisième lieu,تریسٹھ ویں نمبر پر,Phrase used to introduce the sixty-third item in an ordered list of points or reasons.,وَفِي المَقَامِ الثَّالِثِ وَالسِّتِّينَ، الأَمَانَةُ.,"And sixty-thirdly, Trustworthiness.",True,True,,verified
609,عَلَى وَشْكِ التَّلاشِي الإِيكُولُوجِيِّ الشَّامِلِ,on the verge of total ecological disappearance / environmental death,sur le point de la disparition écologique totale / mort environnementale,مکمل ایکولوجیکل (ماحولیاتی) طور پر مٹ جانے (قدرت ختم ہونے) کے دہانے پر,"Phrase describing a forest, an ocean, or a whole planet whose life-balance is about to be completely destroyed, leaving only a dead rock behind.",الغَابَةُ عَلَى وَشْكِ التَّلاشِي الإِيكُولُوجِيِّ الشَّامِلِ.,The forest is on the verge of total ecological disappearance.,True,True,,verified
610,فِي حَالِ طَلَبِ التَّوْضِيحِ الفَلَسَفِيِّ العَمِيقِ,in case deep philosophical clarification is requested,en cas de demande de clarification philosophique profonde,گہری فلسفیانہ وضاحت طلب ہونے کی صورت میں,"(Extreme pedagogical depth). Conditional phrase for when a thinker or a leader needs to know the most hidden reasons for how ideas, logic, and existence work together.",اِشْرَحِ الحَقِيقَةَ فِي حَالِ طَلَبِ التَّوْضِيحِ الفَلَسَفِيِّ العَمِيقِ.,Explain the truth in case deep philosophical clarification is requested.,True,True,,verified
611,فِي المَقَامِ الرَّابِعِ وَالسِّتِّينَ,in the sixty-fourth place / sixty-fourthly,en soixante-quatrième lieu,چونسٹھ ویں نمبر پر,Phrase used to introduce the sixty-fourth item in an ordered list of points or reasons.,وَفِي المَقَامِ الرَّابِعِ وَالسِّتِّينَ، اليَقِينُ.,"And sixty-fourthly, Certainty.",True,True,,verified
612,بِدُونِ سَابِقِ تَعَهُّدٍ سِيَاسِيٍّ تِّكْنُولُوجِيٍّ,without any prior technological political commitment,sans aucun engagement politique technologique préalable,کسی بھی پیشگی ٹیکنالوجیکل سیاسی عہد کے بغیر,"(Double emphatic). Stresses that no promises were made regarding code, automation, or the digital network of the state from the government before a sudden change.",أُوقِفَتِ الحَوَاسِيبُ بِدُونِ سَابِقِ تَعَهُّدٍ سِيَاسِيٍّ تِّكْنُولُوجِيٍّ.,Computers were stopped without any prior technological political commitment.,True,True,,verified
613,فِي المَقَامِ الخَامِسِ وَالسِّتِّينَ,in the sixty-fifth place / sixty-fifthly,en soixante-cinquième lieu,پینسٹھ ویں نمبر پر,Phrase used to introduce the sixty-fifth item in an ordered list of points or reasons.,وَفِي المَقَامِ الخَامِسِ وَالسِّتِّينَ، الحَيَاءُ.,"And sixty-fifthly, Modesty.",True,True,,verified
614,بِدُونِ سَابِقِ تَعَهُّدٍ سِيَاسِيٍّ إِحْصَائِيٍّ,without any prior statistical political commitment,sans aucun engagement politique statistique préalable,کسی بھی پیشگی شماریاتی (ڈیٹا) سیاسی عہد کے بغیر,"(Double emphatic). Stresses that no promises were made regarding numbers, population data, or the math of the state from the government before a sudden change.",غُيِّرَتِ الأَرْقَامُ بِدُونِ سَابِقِ تَعَهُّدٍ سِيَاسِيٍّ إِحْصَائِيٍّ.,Numbers were changed without any prior statistical political commitment.,True,True,,verified
615,فِي المَقَامِ السَّادِسِ وَالسِّتِّينَ,in the sixty-sixth place / sixty-sixthly,en soixante-sixième lieu,چھیاسٹھ ویں نمبر پر,Phrase used to introduce the sixty-sixth item in an ordered list of points or reasons.,وَفِي المَقَامِ السَّادِسِ وَالسِّتِّينَ، الوَفَاءُ.,"And sixty-sixthly, Loyalty.",True,True,,verified
616,فِي المَقَامِ السَّابِعِ وَالسِّتِّينَ,in the sixty-seventh place / sixty-seventhly,en soixante-septième lieu,سڑسٹھ ویں نمبر پر,Phrase used to introduce the sixty-seventh item in an ordered list of points or reasons.,وَفِي المَقَامِ السَّابِعِ وَالسِّتِّينَ، التَّوَاضُعُ.,"And sixty-seventhly, Humility.",True,True,,verified
617,فِي المَقَامِ الثَّامِنِ وَالسِّتِّينَ,in the sixty-eighth place / sixty-eighthly,en soixante-huitième lieu,اڑسٹھ ویں نمبر پر,Phrase used to introduce the sixty-eighth item in an ordered list of points or reasons.,وَفِي المَقَامِ الثَّامِنِ وَالسِّتِّينَ، العَفُوُّ.,"And sixty-eighthly, Forgiveness.",True,True,,verified
618,فِي المَقَامِ التَّاسِعِ وَالسِّتِّينَ,in the sixty-ninth place / sixty-ninthly,en soixante-neuvième lieu,انہتر ویں نمبر پر,Phrase used to introduce the sixty-ninth item in an ordered list of points or reasons.,وَفِي المَقَامِ التَّاسِعِ وَالسِّتِّينَ، الشَّجَاعَةُ.,"And sixty-ninthly, Courage.",True,True,,verified
619,فِي المَقَامِ السَّبْعِينَ,in the seventieth place / seventiethly,en soixante-dixième lieu,سترویں نمبر پر,Phrase used to introduce the seventieth item in an ordered list of points or reasons.,وَفِي المَقَامِ السَّبْعِينَ، الحِكْمَةُ.,"And seventiethly, Wisdom.",True,True,,verified
620,فِي المَقَامِ الحَادِي وَالسَّبْعِينَ,in the seventy-first place / seventy-firstly,en soixante et onzième lieu,اکہتر ویں نمبر پر,Phrase used to introduce the seventy-first item in an ordered list of points or reasons.,وَفِي المَقَامِ الحَادِي وَالسَّبْعِينَ، العَدْلُ.,"And seventy-firstly, Justice.",True,True,,verified
621,فِي المَقَامِ الثَّانِي وَالسَّبْعِينَ,in the seventy-second place / seventy-secondly,en soixante-douzième lieu,بہتر ویں نمبر پر,Phrase used to introduce the seventy-second item in an ordered list of points or reasons.,وَفِي المَقَامِ الثَّانِي وَالسَّبْعِينَ، العِلْمُ.,"And seventy-secondly, Science.",True,True,,verified
622,فِي المَقَامِ الثَّالِثِ وَالسَّبْعِينَ,in the seventy-third place / seventy-thirdly,en soixante-treizième lieu,تہتر ویں نمبر پر,Phrase used to introduce the seventy-third item in an ordered list of points or reasons.,وَفِي المَقَامِ الثَّالِثِ وَالسَّبْعِينَ، الحَقِيقَةُ.,"And seventy-thirdly, Truth.",True,True,,verified
623,فِي المَقَامِ الرَّابِعِ وَالسَّبْعِينَ,in the seventy-fourth place / seventy-fourthly,en soixante-quatorzième lieu,چوہتر ویں نمبر پر,Phrase used to introduce the seventy-fourth item in an ordered list of points or reasons.,وَفِي المَقَامِ الرَّابِعِ وَالسَّبْعِينَ، الصِّدْقُ.,"And seventy-fourthly, Truthfulness.",True,True,,verified
624,بِدُونِ سَابِقِ تَعَهُّدٍ سِيَاسِيٍّ مَنَاخِيٍّ,without any prior climatic political commitment,sans aucun engagement politique climatique préalable,کسی بھی پیشگی ماحولیاتی سیاسی عہد کے بغیر,"(Double emphatic). Stresses that no promises were made regarding air-patterns, rain-rules, or the atmospheric survival of the state from the government before a sudden change.",جَفَّ الهَوَاءُ بِدُونِ سَابِقِ تَعَهُّدٍ سِيَاسِيٍّ مَنَاخِيٍّ.,Air dried up without any prior climatic political commitment.,True,True,,verified
625,فِي المَقَامِ الخَامِسِ وَالسَّبْعِينَ,in the seventy-fifth place / seventy-fifthly,en soixante-quinzième lieu,پچھتر ویں نمبر پر,Phrase used to introduce the seventy-fifth item in an ordered list of points or reasons.,وَفِي المَقَامِ الخَامِسِ وَالسَّبْعِينَ، الحِكْمَةُ.,"And seventy-fifthly, Wisdom.",True,True,,verified
