rank,target,english,pos,ipa_candidate,learner_hint_candidate,source_sha256
537,منظمة,"organization; organized (feminine, depending on vocalization/use)",noun / passive participle / adjective,munˈaðða.mˌa,mohohnadhdha.ma,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
538,كتب,books; wrote,noun / perfect / past verb,kˈatab,katab,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
539,حضور,attendance; presence,noun,ħˈudˤuːr,hohohdˤohohr,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
540,رفع,raising; lifting; raised,noun / perfect / past verb,rˈafʕ,raf‘,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
541,لعب,play; playing; played,noun / perfect / past verb,lˈaʕib,la‘ayayb,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
542,خروج,exit; departure,noun,χˈuruːdʒ,khohohrohohy,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
543,جهة,side; direction; entity/party,noun,dʒˈiha,yayayha,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
544,رسالة,message; letter,noun,rˈisaːlˌa,rayaysala,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
545,استخدام,use; usage,noun,ˈistiχdˌaːm,ayaystayaykhdam,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
546,سلطة,authority; power; government; salad (different vocalization),noun,sˈult̪a.,sohohlt̪a.,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
547,ضرورة,necessity; need,noun,dˤˈaruːrˌa,dˤarohohra,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
548,يدخل,enters,imperfect / present verb,jdχl,ydkhl,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
549,ممكن,possible; feasible,adjective,mˈumkin,mohohmkayayn,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
550,نتائج,results; consequences,noun,ntˈaːʔdʒ,ntaʔy,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
551,مدرب,coach; trainer,noun,mˈudarrˌib,mohohdarrayayb,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
552,يترك,leaves; abandons,imperfect / present verb,jtrkˈa,ytrka,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
553,فهم,understanding; comprehension; understood (depending on vocalization/use),noun / perfect-past verb,fˈahim,fahayaym,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
554,أساسي,basic; fundamental,adjective,ʔˈasaːsˌiːj,ʔasasayayy,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
555,أشخاص,people; persons,noun,ʔʃχˈaːs̪,ʔshkhas̪,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
556,جنوب,south,noun,dʒanˈuːb,yanohohb,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
557,يسمع,hears; listens,imperfect / present verb,jsmʕ,ysm‘,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
558,سجن,prison; imprisonment; imprisoned,noun / perfect-past verb,sˈidʒn,sayayyn,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
559,تحديد,determination; specification; identification,noun,tˈaħdiːd,tahdayayd,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
560,وطن,homeland; nation; country,noun,wˈat̪an,wat̪an,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
561,ظل,shade; shadow; remained/continued,noun / perfect / past verb,ðˈill,dhayayll,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
562,ولد,boy; son; child; gave birth; was born (depending on vocalization/use),noun / perfect-past verb / passive perfect verb,wˈalad,walad,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
563,إعلان,announcement; advertisement,noun,ʔˈiʕlaːn,ʔayay‘lan,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
564,شارع,street,noun,ʃˈaːriʕ,sharayay‘,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
565,جولة,tour; round; trip,noun,dʒˈawla,yawla,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
566,ينتهي,ends; finishes,imperfect / present verb,jnthˈiː,ynthayay,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
567,تغيير,change; alteration,noun,tˈaɣjiːr,taghyayayr,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
568,أمين,trustworthy; honest; faithful; secretary; custodian,adjective / noun,ʔˈamiːn,ʔamayayn,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
569,قدر,fate; destiny; amount; value; ability; was able to; estimated; decreed/determined (depending on vocalization/use),noun / perfect-past verb,qˈadːar,qadar,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
570,يحمل,carries; bears; loads/imposes (depending on form),imperfect / present verb,jħml,yhml,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
571,يلعب,plays,imperfect / present verb,jlʕb,yl‘b,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
572,يضع,puts; places,imperfect / present verb,jdˤʕ,ydˤ‘,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
573,يساعد,helps; assists,imperfect / present verb,jsˈaːʕd,ysa‘d,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
574,يموت,dies,imperfect / present verb,jmˈuːt,ymohoht,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
575,خط,line; route,noun,χˈat̪t̪,khat̪t̪,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
576,هاتف,telephone; phone; telephoned,noun / perfect / past verb,hˈaːtif,hatayayf,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
577,علاقات,relations; relationships,noun,ʕlˈaːqaːt,‘laqat,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
578,عرف,custom; convention; knew; recognized (depending on vocalization/use),noun / perfect-past verb,ʕˈa.ra.f,‘a.ra.f,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
579,أخ,brother,noun,ʔˈaχ,ʔakh,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
580,مواجهة,confrontation; facing,noun,muwˈaːdʒahˌa,mohohwayaha,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
581,بنك,bank,noun,bˈank,bank,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
582,حرية,freedom; liberty,noun,ħˈurriːjˌa,hohohrrayayya,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
583,خدمة,service,noun,χˈidma,khayaydma,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
584,حدود,borders; limits,noun,ħdˈuːd,hdohohd,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
585,مدى,extent; range,noun,mˈadaː,mada,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
586,ليل,night,noun,lˈajl,layl,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
587,يملك,owns; possesses,imperfect / present verb,jmlkˈa,ymlka,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
588,إعلام,media; information/publicity,noun,ʔˈiʕlaːm,ʔayay‘lam,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
589,أية,any; whichever; which (feminine form أية),noun,ʔˈijjah,ʔayayyyah,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
590,زيارة,visit,noun,zijˈaːra.,zayayyara.,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
591,مرأة,woman (alternative form of امرأة),noun,mˈarʔa,marʔa,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
592,صحة,health; correctness,noun,s̪ˈiħħa,s̪ayayhha,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
593,مناسبة,occasion; event; suitable/appropriate (feminine),noun / adjective,munˈaːsabˌa,mohohnasaba,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
594,قسم,section; department; oath; divided (depending on vocalization),noun / perfect / past verb,qˈism,qayaysm,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
595,قائمة,"list; menu; standing; existing (feminine, depending on use)",noun / active participle / adjective,qˈaːʔimˌa,qaʔayayma,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
596,مشاكل,problems,noun,mʃˈaːkl,mshakl,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
597,غريب,strange; foreign; odd,adjective,ɣˈariːb,gharayayb,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
598,حقوق,rights,noun,ħqwq,hqwq,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
599,جمعية,association; society; organization,noun,dʒˈamʕiːjˌa,yam‘ayayya,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
600,بيع,sale; selling,noun,bˈajʕ,bay‘,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
601,حاليا,currently; at present,adverb,ħˈaːliːˌaː,halayaya,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
602,رجاء,request; hope; please (as a polite formula),noun,rˈadʒaːʔ,rayaʔ,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
603,أحضر,brought; brought in; supplied; bring!; I attend / I am present (depending on vocalization/context),perfect-past verb / imperative verb / first-person imperfect verb,ʔˈaħdˤar,ʔahdˤar,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
604,سيء,bad; poor,adjective,sˈajjiʔ,sayyayayʔ,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
605,سلاح,weapon; arms,noun,silˈaːħ,sayaylah,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
606,يطلب,asks for; requests; demands,imperfect / present verb,jt̪lb,yt̪lb,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
607,مناطق,regions; areas,noun,mnˈaːt̪q,mnat̪q,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
608,شخصية,"personality; character; personal (feminine, depending on use)",noun / adjective,ʃˈaχs̪iːjˌa,shakhs̪ayayya,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
609,رياضي,athletic; sporting; athlete; sportsman; mathematician,adjective / noun,rˈiːaːdˤˌiːj,rayayadˤayayy,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
610,يتذكر,remembers,imperfect / present verb,jtðkr,ytdhkr,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
611,أداء,performance; execution,noun,ʔˈadaːʔ,ʔadaʔ,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
612,مؤسسة,institution; organization,noun,muʔˈassasˌa,mohohʔassasa,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
613,سعر,price; priced,noun / perfect / past verb,sˈiʕr,sayay‘r,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
614,تراجع,decline; retreat; retreated/declined,noun / perfect / past verb,tˈaraːdʒˌuʕ,tarayohoh‘,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
615,أهمية,importance,noun,ʔahˈammiːjˌa,ʔahammayayya,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
616,واضح,clear; obvious,adjective,wˈaːdˤiħ,wadˤayayh,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
617,أحيان,times; occasions (commonly in أحيانًا = sometimes),noun,ʔħˈiːaːn,ʔhayayan,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
618,جريمة,crime,noun,dʒˈariːmˌa,yarayayma,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
619,مؤكدا,confirming; emphasizing; confirmed; certain; definitely (depending on vocalization/context),active/passive participle / adjective used adverbially or circumstantially,mʔkdˈaː,mʔkda,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
620,أتى,came; arrived,perfect / past verb,ʔˈataː,ʔata,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
621,حالي,current; present; my condition; my state (depending on structure),adjective / noun + possessive suffix,ħaːlˈijj,halayayyy,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
622,يدفع,pays; pushes,imperfect / present verb,jdfʕ,ydf‘,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
623,تالي,next; following,adjective,tˈaːliː,talayay,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
624,إقامة,residence; establishment; holding,noun,ʔˈiqaːmˌa,ʔayayqama,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
625,إنتاج,production; output,noun,ʔˈintaːdʒ,ʔayayntay,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
626,معا,together,adverb,mˈaʕaː,ma‘a,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
627,أطلق,launched; released; fired; set free,perfect / past verb,ʔˈat̪laq,ʔat̪laq,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
628,أنتم,you (masculine plural),pronoun,ʔˈantum,ʔantohohm,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
629,حماية,protection,noun,ħˈimaːjˌa,hayaymaya,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
630,صور,pictures; images; photographed,noun / perfect / past verb,s̪ˈuːr,s̪ohohr,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
631,يتكلم,speaks; talks,imperfect / present verb,jtklm,ytklm,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
632,إحدى,one; one of (feminine form),numeral / quantifier,ʔħdˈaː,ʔhda,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
633,فوق,above; over,adverb,fˈawq,fawq,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
634,سوى,except; other than; apart from,exceptive noun / restrictive expression,sˈiwaː,sayaywa,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
635,سجل,record; register; recorded/registered,noun / perfect / past verb,sˈadʒdʒal,sayyal,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
636,وحده,alone; by himself/itself,noun,wˈaħdh,wahdh,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
637,نساء,women,noun,nˈisaːʔ,nayaysaʔ,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
638,قصة,story,noun,qˈis̪s̪a,qayays̪s̪a,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
639,خذ,take!,imperative verb,χð,khdh,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
640,طبيب,doctor; physician,noun,t̪ˈabiːb,t̪abayayb,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
641,مباشرة,directly; direct; immediate,adverb / adjective,mubˈaːʃarˌa,mohohbashara,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
642,جمهورية,republic,noun,dʒˌumhuːrˈijja,yohohmhohohrayayyya,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
643,بأس,harm / hardship; might / strength,noun,bˈaʔs,baʔs,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
644,أشهر,months; more famous; most famous (depending on vocalization/use),plural noun / elative adjective,ʔˈaʃhar,ʔashhar,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
645,ملك,king; angel; property; possession; owned; possessed (depending on vocalization/use),noun / perfect-past verb,mˈalik,malayayk,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
646,قضاء,judgment / ruling; judiciary; fulfillment / carrying out,noun / verbal noun,qˈadˤaːʔ,qadˤaʔ,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
647,دراسة,study,noun,dˈiraːsˌa,dayayrasa,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
648,متأكد,sure; certain; confident,adjective,mutˈaʔakːˌid,mohohtaʔakayayd,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
649,سياسة,politics; policy,noun,sijˈaːsa,sayayyasa,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
650,صعب,difficult; hard; was difficult; became hard (depending on vocalization/use),adjective / perfect-past verb,s̪ˈaʕb,s̪a‘b,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
651,دخل,income; revenue; entered,noun / perfect / past verb,dˈaχal,dakhal,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
652,يقتل,kills; is killed (voice depends on vocalization/context),imperfect / present verb,jqtl,yqtl,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
653,عالمي,global; worldwide; international,adjective,ʕˌaːlamˈijj,‘alamayayyy,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
654,أمم,nations; peoples,noun,ʔˈammam,ʔammam,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
655,أمل,hope,noun,ʔˈamal,ʔamal,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
656,اعتبار,consideration; regard,noun,ˈiʕtibˌaːr,ayay‘tayaybar,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
657,نهائي,final; definitive,adjective,nˈihaːʔˌiːj,nayayhaʔayayy,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
658,مئة,one hundred; hundred,numeral / quantifying noun,mʔt,mʔt,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
659,تنظيم,organization; regulation; organizing,noun,tˈanðiːm,tandhayaym,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
660,نجاح,success,noun,nˈadʒaːħ,nayah,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
661,دورة,course; cycle; round; session,noun,dˈawra,dawra,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
662,لعبة,game; toy,noun,lˈuʕba,lohoh‘ba,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
663,رد,reply; response; return; replied/returned,noun / perfect / past verb,rˈadː,rad,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
664,تنمية,development; growth,noun,tˈanmiːˌa,tanmayaya,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
665,اهتمام,interest; attention; concern,noun,ˈihtimˌaːm,ayayhtayaymam,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
666,إطار,framework; frame,noun,ʔˈit̪aːr,ʔayayt̪ar,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
667,أمنية,wish; desire,noun,ʔˈumniːjˌa,ʔohohmnayayya,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
668,مسؤول,responsible; official; person responsible,adjective / noun,masʔˈuːl,masʔohohl,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
669,قائد,leader; commander; driver,noun,qˈa.ːʔid,qa.ʔayayd,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
670,مصادر,sources,noun,mˈus̪aːdˌar,mohohs̪adar,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
671,وقع,impact; effect; happened; occurred; fell; was located; signed (depending on vocalization/use),noun / perfect-past verb,wˈaqaʕ,waqa‘,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
672,مباريات,matches; games,noun,mbaːrˈijjaːt,mbarayayyyat,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
673,لاحق,subsequent; later; following; followed/caught up with,adjective / perfect / past verb,lˈaːħiq,lahayayq,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
674,اتصل,contacted; connected; call!/contact!,perfect / past verb / imperative verb,ˈitːas̪ˌal,ayaytas̪al,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
675,محاولة,attempt; try,noun,muħˈaːwalˌa,mohohhawala,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
676,كون,being; existence; formed/created,noun / perfect / past verb,kˈawn,kawn,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
677,أراد,wanted; desired; intended,perfect / past verb,ʔarˈa.ːd,ʔara.d,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
678,إصابة,injury; casualty,noun,ʔˈis̪aːbˌa,ʔayays̪aba,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
679,عشرة,ten; companionship/association (depending on vocalization),numeral / quantifying noun / noun,ʕˈiʃra,‘ayayshra,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
680,مهما,whatever; no matter what,conditional pronoun / conditional noun,mˈahmaː,mahma,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
681,يمثل,represents; constitutes; acts/portrays,imperfect / present verb,jmθl,ymthl,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
682,اختيار,choice; selection,noun,ˈiχtiːˌaːr,ayaykhtayayar,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
683,شهد,witnessed; observed,perfect / past verb,ʃˈahid,shahayayd,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
684,إجراء,procedure; measure; action; carrying out,noun,ʔˈidʒraːʔ,ʔayayyraʔ,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
685,صحيفة,newspaper; journal,noun,s̪a.ħˈiːfa,s̪a.hayayfa,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
686,استمرار,continuation; persistence,noun,ˈistimrˌaːr,ayaystayaymrar,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
687,شمال,north; left side (depending on vocalization),noun,ʃamˈaːl,shamal,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
688,فكر,thought; thinking; thought/considered,noun / perfect / past verb,fˈikr,fayaykr,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
689,شراء,purchase; buying,noun,ʃˈiraːʔ,shayayraʔ,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
690,نيابة,prosecution; representation; deputyship (context-dependent),noun,nˈiːaːbˌa,nayayaba,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
691,موعد,appointment; date; scheduled time,noun,mˈawʕid,maw‘ayayd,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
692,ماء,water,noun,mˈaːʔ,maʔ,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
693,يتعلق,relates to; concerns; is connected with,imperfect / present verb,jtʕlq,yt‘lq,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
694,اجتماعي,social,adjective,ˌidʒtimaːʕˈijj,ayayytayayma‘ayayyy,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
695,امرأة,woman,noun,ˈimraʔˌa,ayaymraʔa,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
696,أسهم,arrows; shares; stocks; contributed; participated (depending on vocalization/use),plural noun / perfect-past verb,ʔˈasham,ʔasham,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
697,أجهزة,devices; equipment,noun,ʔdʒhzt,ʔyhzt,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
698,بدء,beginning; start,noun,bˈadʔ,badʔ,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
699,جلسة,session; meeting,noun,dʒˈalsa,yalsa,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
700,لا يزال,still is; continues to be,negative particle + defective imperfect verb; fixed continuative expression,lˈaː jzˈaːl,la yzal,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
701,رسمي,official; formal,adjective,ra.smˈijj,ra.smayayyy,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
702,تأثير,effect; influence; impact,noun,tˈaʔθiːr,taʔthayayr,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
703,لقب,title; nickname; titled/nicknamed,noun / perfect / past verb,lˈaqab,laqab,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
704,فرق,difference; separation; teams; groups; separated; distinguished (depending on vocalization/use),noun / plural noun / perfect-past verb,fˈarq,farq,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
705,هجوم,attack; assault,noun,hˈudʒuːm,hohohyohohm,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
706,ابنة,daughter,noun,ˈabnt,abnt,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
707,يستمر,continues; persists,imperfect / present verb,jstmr,ystmr,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
708,لطيف,nice; kind; gentle; pleasant,adjective,lˈat̪iːf,lat̪ayayf,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
709,يهتم,cares about; is interested in,imperfect / present verb,jhtm,yhtm,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
710,إذ,"when; since; as; because (إذ, context-dependent)",adverb / conjunction,ʔˈið,ʔayaydh,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
711,أبناء,sons; children,noun,ʔbnˈaːʔ,ʔbnaʔ,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
712,غرب,west,noun,ɣˈarb,gharb,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
713,تأمين,insurance; securing; guarantee,noun,tˈaʔmiːn,taʔmayayn,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
